"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"12.10.2020","1.162,91","1.163,09","1.169,93","1.155,85","-","-0,12%"
"09.10.2020","1.164,34","1.157,38","1.165,69","1.147,95","-","0,48%"
"08.10.2020","1.158,82","1.150,83","1.158,82","1.148,00","-","1,30%"
"07.10.2020","1.143,95","1.157,93","1.164,69","1.140,53","-","-2,11%"
"06.10.2020","1.168,56","1.163,75","1.176,58","1.157,41","-","0,92%"
"05.10.2020","1.157,86","1.152,56","1.160,54","1.144,04","-","0,85%"
"02.10.2020","1.148,07","1.157,17","1.157,17","1.134,01","-","-2,25%"
"01.10.2020","1.174,49","1.181,29","1.191,19","1.170,72","-","-0,34%"
"30.09.2020","1.178,51","1.158,75","1.182,96","1.152,94","-","1,98%"
"29.09.2020","1.155,67","1.169,84","1.172,76","1.138,95","-","-0,96%"
"28.09.2020","1.166,86","1.171,87","1.178,65","1.163,08","-","0,19%"
"25.09.2020","1.164,68","1.189,40","1.193,58","1.160,28","-","-2,04%"
"24.09.2020","1.188,98","1.187,48","1.192,67","1.172,94","-","-0,57%"
"23.09.2020","1.195,77","1.214,29","1.225,06","1.195,77","-","0,23%"
"22.09.2020","1.193,06","1.189,37","1.209,03","1.182,04","-","1,00%"
"21.09.2020","1.181,24","1.225,32","1.225,99","1.176,63","-","-3,86%"
"18.09.2020","1.228,64","1.246,67","1.250,13","1.226,48","-","-1,18%"
"17.09.2020","1.243,29","1.238,42","1.246,02","1.232,82","-","-0,68%"
"16.09.2020","1.251,86","1.252,38","1.257,92","1.243,60","-","-0,15%"
"15.09.2020","1.253,68","1.229,16","1.253,68","1.227,94","-","2,05%"
"14.09.2020","1.228,48","1.224,14","1.239,42","1.218,41","-","0,44%"
"11.09.2020","1.223,05","1.210,12","1.225,59","1.207,27","-","0,53%"
"10.09.2020","1.216,59","1.207,98","1.220,27","1.191,89","-","1,27%"
"09.09.2020","1.201,34","1.189,69","1.206,04","1.187,98","-","1,00%"
"08.09.2020","1.189,47","1.221,35","1.225,16","1.183,78","-","-2,38%"
"07.09.2020","1.218,52","1.223,75","1.230,02","1.210,21","-","-0,12%"
"04.09.2020","1.220,01","1.222,21","1.236,65","1.214,72","-","-0,26%"
"03.09.2020","1.223,21","1.234,42","1.241,28","1.216,93","-","-0,94%"
"02.09.2020","1.234,82","1.280,08","1.283,69","1.229,50","-","-3,11%"
"01.09.2020","1.274,50","1.265,70","1.282,24","1.264,85","-","1,26%"
"31.08.2020","1.258,60","1.274,05","1.286,07","1.255,34","-","-0,55%"
"28.08.2020","1.265,62","1.267,38","1.271,32","1.254,83","-","0,06%"
"27.08.2020","1.264,86","1.274,80","1.279,20","1.258,69","-","-0,66%"
"26.08.2020","1.273,24","1.271,77","1.273,24","1.256,72","-","0,48%"
"25.08.2020","1.267,16","1.284,12","1.289,33","1.265,85","-","-1,12%"
"24.08.2020","1.281,52","1.265,93","1.288,15","1.265,93","-","1,55%"
"21.08.2020","1.262,01","1.286,60","1.291,23","1.252,91","-","-0,85%"
"20.08.2020","1.272,81","1.308,75","1.308,75","1.272,81","-","-3,31%"
"19.08.2020","1.316,32","1.312,48","1.322,48","1.308,09","-","0,37%"
"18.08.2020","1.311,52","1.306,53","1.322,99","1.303,30","-","0,21%"
"17.08.2020","1.308,71","1.327,78","1.336,58","1.301,03","-","-1,14%"
"14.08.2020","1.323,80","1.328,20","1.328,20","1.306,00","-","-0,18%"
"13.08.2020","1.326,13","1.306,74","1.326,13","1.304,59","-","1,45%"
"12.08.2020","1.307,12","1.288,04","1.307,12","1.283,60","-","0,86%"
"11.08.2020","1.296,01","1.268,93","1.301,19","1.268,93","-","2,21%"
"10.08.2020","1.267,96","1.271,97","1.280,41","1.267,96","-","-0,27%"
"07.08.2020","1.271,43","1.286,37","1.286,37","1.266,85","-","-0,86%"
"06.08.2020","1.282,44","1.296,20","1.299,76","1.278,22","-","-0,99%"
"05.08.2020","1.295,27","1.265,72","1.297,97","1.265,14","-","2,79%"
"04.08.2020","1.260,16","1.264,53","1.269,81","1.246,82","-","0,22%"
"03.08.2020","1.257,42","1.235,20","1.260,47","1.234,97","-","1,86%"
"31.07.2020","1.234,44","1.250,02","1.251,57","1.232,99","-","0,17%"
"30.07.2020","1.232,35","1.265,60","1.266,81","1.226,86","-","-2,66%"
"29.07.2020","1.266,01","1.255,89","1.270,42","1.254,15","-","0,66%"
"28.07.2020","1.257,69","1.272,73","1.277,82","1.249,72","-","-0,67%"
"27.07.2020","1.266,16","1.260,32","1.276,49","1.260,32","-","0,81%"
"24.07.2020","1.255,98","1.249,86","1.258,36","1.243,54","-","-0,45%"
"23.07.2020","1.261,62","1.262,61","1.274,56","1.254,06","-","0,52%"
"22.07.2020","1.255,10","1.257,73","1.266,16","1.250,31","-","-0,37%"
"21.07.2020","1.259,72","1.242,99","1.266,48","1.242,99","-","1,93%"
"20.07.2020","1.235,85","1.214,76","1.235,85","1.205,79","-","1,62%"
"17.07.2020","1.216,17","1.213,16","1.218,32","1.209,24","-","-0,31%"
"16.07.2020","1.219,93","1.216,67","1.222,16","1.208,29","-","0,05%"
"15.07.2020","1.219,26","1.212,88","1.228,41","1.210,14","-","0,20%"
"14.07.2020","1.216,79","1.221,19","1.221,24","1.197,20","-","-1,43%"
"13.07.2020","1.234,50","1.249,86","1.257,73","1.232,99","-","-0,90%"
"10.07.2020","1.245,65","1.229,46","1.245,65","1.221,96","-","0,91%"
"09.07.2020","1.234,42","1.242,94","1.252,25","1.230,07","-","-0,89%"
"08.07.2020","1.245,54","1.240,60","1.250,44","1.238,71","-","-0,18%"
"07.07.2020","1.247,83","1.240,89","1.251,90","1.229,91","-","0,06%"
"06.07.2020","1.247,14","1.246,84","1.266,28","1.241,71","-","0,97%"
"03.07.2020","1.235,18","1.245,05","1.252,64","1.229,44","-","-1,05%"
"02.07.2020","1.248,28","1.222,73","1.250,57","1.220,84","-","2,94%"
"30.06.2020","1.212,63","1.246,93","1.250,32","1.212,63","-","-2,19%"
"29.06.2020","1.239,81","1.241,00","1.249,45","1.230,11","-","-0,56%"
"26.06.2020","1.246,74","1.268,89","1.270,36","1.236,91","-","-0,83%"
"25.06.2020","1.257,18","1.258,02","1.262,33","1.242,32","-","-1,87%"
"23.06.2020","1.281,18","1.264,34","1.282,95","1.263,77","-","1,94%"
"22.06.2020","1.256,77","1.249,47","1.258,50","1.235,16","-","0,57%"
"19.06.2020","1.249,67","1.234,88","1.259,86","1.234,88","-","1,54%"
"18.06.2020","1.230,71","1.235,27","1.242,95","1.221,20","-","-0,58%"
"17.06.2020","1.237,93","1.247,75","1.257,91","1.233,65","-","-0,39%"
"16.06.2020","1.242,72","1.243,48","1.264,12","1.236,12","-","1,73%"
"15.06.2020","1.221,60","1.214,13","1.223,09","1.196,47","-","-1,33%"
"11.06.2020","1.238,11","1.267,99","1.267,99","1.237,02","-","-3,09%"
"10.06.2020","1.277,58","1.284,27","1.288,07","1.266,02","-","-0,52%"
"09.06.2020","1.284,31","1.295,42","1.299,59","1.263,75","-","-0,34%"
"08.06.2020","1.288,71","1.287,32","1.306,27","1.278,75","-","0,23%"
"05.06.2020","1.285,78","1.266,42","1.291,00","1.265,26","-","2,26%"
"04.06.2020","1.257,31","1.295,23","1.296,34","1.252,14","-","-3,42%"
"03.06.2020","1.301,88","1.290,27","1.301,88","1.277,15","-","1,88%"
"02.06.2020","1.277,85","1.258,10","1.283,85","1.255,75","-","2,42%"
"01.06.2020","1.247,61","1.240,08","1.253,91","1.233,73","-","2,28%"
"29.05.2020","1.219,76","1.236,36","1.236,36","1.210,07","-","-1,77%"
"28.05.2020","1.241,77","1.219,22","1.241,77","1.211,85","-","2,44%"
"27.05.2020","1.212,20","1.222,91","1.234,83","1.197,78","-","-1,04%"
"26.05.2020","1.224,99","1.220,59","1.243,96","1.220,45","-","0,95%"
"25.05.2020","1.213,41","1.195,96","1.213,41","1.195,96","-","2,10%"
"22.05.2020","1.188,47","1.194,86","1.198,26","1.174,86","-","-1,48%"
"21.05.2020","1.206,28","1.226,09","1.243,27","1.196,21","-","-1,57%"
"20.05.2020","1.225,47","1.176,02","1.225,47","1.173,70","-","4,10%"
"19.05.2020","1.177,24","1.171,43","1.183,77","1.168,04","-","0,80%"
"18.05.2020","1.167,88","1.122,71","1.167,95","1.122,71","-","5,45%"
"15.05.2020","1.107,49","1.121,47","1.134,34","1.107,49","-","0,41%"
"14.05.2020","1.102,98","1.106,25","1.113,94","1.086,36","-","-0,67%"
"13.05.2020","1.110,37","1.124,29","1.132,75","1.110,37","-","-2,37%"
"12.05.2020","1.137,28","1.130,71","1.143,65","1.123,16","-","0,08%"
"08.05.2020","1.136,34","1.125,66","1.140,01","1.116,25","-","0,88%"
"07.05.2020","1.126,48","1.112,34","1.138,22","1.111,73","-","1,35%"
"06.05.2020","1.111,43","1.135,74","1.139,51","1.106,06","-","-1,92%"
"05.05.2020","1.133,16","1.117,00","1.135,40","1.115,99","-","3,07%"
"04.05.2020","1.099,42","1.111,28","1.111,28","1.080,63","-","-2,28%"
"30.04.2020","1.125,03","1.157,93","1.169,88","1.121,78","-","-1,71%"
"29.04.2020","1.144,64","1.117,72","1.147,97","1.113,89","-","3,16%"
"28.04.2020","1.109,60","1.085,86","1.125,88","1.081,09","-","2,39%"
"27.04.2020","1.083,68","1.086,06","1.099,38","1.081,49","-","0,22%"
"24.04.2020","1.081,32","1.090,46","1.103,77","1.074,06","-","-1,67%"
"23.04.2020","1.099,67","1.079,15","1.110,40","1.071,34","-","3,16%"
"22.04.2020","1.066,01","1.011,38","1.071,80","1.006,96","-","5,32%"
"21.04.2020","1.012,15","1.037,69","1.037,89","991,49","-","-5,26%"
"20.04.2020","1.068,32","1.075,22","1.079,75","1.055,71","-","-0,96%"
"17.04.2020","1.078,69","1.083,27","1.092,54","1.068,93","-","1,10%"
"16.04.2020","1.066,91","1.057,13","1.087,80","1.036,95","-","1,91%"
"15.04.2020","1.046,88","1.129,49","1.129,49","1.045,13","-","-7,62%"
"14.04.2020","1.133,23","1.133,95","1.151,65","1.127,19","-","0,73%"
"13.04.2020","1.124,97","1.142,90","1.148,58","1.118,87","-","-1,50%"
"10.04.2020","1.142,07","1.136,22","1.148,60","1.127,84","-","-1,16%"
"09.04.2020","1.155,49","1.132,27","1.170,27","1.119,82","-","3,67%"
"08.04.2020","1.114,60","1.091,53","1.114,60","1.083,50","-","1,35%"
"07.04.2020","1.099,76","1.097,82","1.122,88","1.087,08","-","1,51%"
"06.04.2020","1.083,43","1.069,66","1.090,81","1.059,31","-","3,20%"
"03.04.2020","1.049,88","1.038,92","1.070,42","1.030,64","-","1,53%"
"02.04.2020","1.034,06","1.011,80","1.038,20","983,63","-","4,69%"
"01.04.2020","987,75","990,15","995,18","977,48","-","-2,63%"
"31.03.2020","1.014,44","979,27","1.014,51","979,27","-","5,83%"
"30.03.2020","958,54","950,20","962,60","926,80","-","0,33%"
"27.03.2020","955,34","1.013,15","1.015,89","945,28","-","-6,07%"
"26.03.2020","1.017,03","986,43","1.022,02","959,31","-","3,60%"
"25.03.2020","981,69","989,49","1.027,62","943,02","-","1,70%"
"24.03.2020","965,32","929,89","978,23","929,89","-","9,23%"
"23.03.2020","883,78","889,95","916,92","860,74","-","-4,38%"
"20.03.2020","924,22","926,19","980,21","913,69","-","2,39%"
"19.03.2020","902,63","831,46","908,75","808,79","-","8,46%"
"18.03.2020","832,26","915,71","915,74","827,52","-","-10,96%"
"17.03.2020","934,66","955,12","985,24","909,92","-","-3,34%"
"16.03.2020","966,93","996,53","998,33","910,66","-","-2,50%"
"13.03.2020","991,69","958,29","1.055,49","957,19","-","2,62%"
"12.03.2020","966,40","1.042,20","1.042,20","953,64","-","-11,03%"
"11.03.2020","1.086,18","1.117,85","1.130,62","1.076,54","-","-0,73%"
"10.03.2020","1.094,18","1.149,81","1.182,08","1.055,31","-","-13,02%"
"06.03.2020","1.257,96","1.291,47","1.300,61","1.238,53","-","-4,97%"
"05.03.2020","1.323,82","1.356,00","1.363,73","1.319,15","-","-1,81%"
"04.03.2020","1.348,19","1.336,30","1.364,55","1.326,90","-","-0,72%"
"03.03.2020","1.358,03","1.336,10","1.360,28","1.320,51","-","4,19%"
"02.03.2020","1.303,47","1.332,74","1.368,63","1.275,17","-","0,29%"
"28.02.2020","1.299,69","1.359,93","1.362,43","1.279,74","-","-6,24%"
"27.02.2020","1.386,20","1.438,28","1.444,05","1.381,02","-","-5,13%"
"26.02.2020","1.461,22","1.442,87","1.464,34","1.419,26","-","1,04%"
"25.02.2020","1.446,11","1.504,06","1.506,85","1.445,76","-","-5,16%"
"21.02.2020","1.524,71","1.525,88","1.531,62","1.515,45","-","-0,72%"
"20.02.2020","1.535,81","1.546,35","1.552,04","1.535,81","-","-0,41%"
"19.02.2020","1.542,08","1.525,01","1.544,62","1.525,01","-","1,75%"
"18.02.2020","1.515,54","1.540,60","1.540,95","1.510,82","-","-1,80%"
"17.02.2020","1.543,25","1.535,16","1.546,87","1.535,16","-","0,54%"
"14.02.2020","1.534,89","1.541,28","1.550,12","1.528,22","-","-0,56%"
"13.02.2020","1.543,50","1.553,32","1.554,20","1.530,79","-","-0,90%"
"12.02.2020","1.557,44","1.542,81","1.557,93","1.541,14","-","1,16%"
"11.02.2020","1.539,56","1.509,16","1.548,27","1.509,16","-","2,37%"
"10.02.2020","1.503,95","1.517,68","1.530,04","1.495,20","-","-0,94%"
"07.02.2020","1.518,23","1.542,11","1.547,97","1.506,25","-","-1,38%"
"06.02.2020","1.539,42","1.569,33","1.579,09","1.533,83","-","-1,35%"
"05.02.2020","1.560,48","1.550,18","1.579,60","1.538,23","-","0,86%"
"04.02.2020","1.547,19","1.523,91","1.550,22","1.523,84","-","1,71%"
"03.02.2020","1.521,16","1.509,20","1.530,86","1.507,30","-","0,27%"
"31.01.2020","1.517,07","1.559,98","1.568,82","1.517,07","-","-1,78%"
"30.01.2020","1.544,55","1.565,60","1.565,78","1.544,55","-","-1,66%"
"29.01.2020","1.570,65","1.581,07","1.584,26","1.563,89","-","-0,10%"
"28.01.2020","1.572,23","1.549,47","1.572,73","1.531,60","-","1,97%"
"27.01.2020","1.541,90","1.584,97","1.584,97","1.541,90","-","-3,62%"
"24.01.2020","1.599,82","1.601,66","1.614,68","1.597,16","-","0,23%"
"23.01.2020","1.596,11","1.611,12","1.614,98","1.593,81","-","-1,04%"
"22.01.2020","1.612,87","1.635,64","1.643,19","1.612,87","-","-1,31%"
"21.01.2020","1.634,32","1.644,18","1.644,18","1.622,58","-","-0,75%"
"20.01.2020","1.646,60","1.640,50","1.651,82","1.640,39","-","0,54%"
"17.01.2020","1.637,75","1.615,15","1.641,82","1.614,90","-","1,55%"
"16.01.2020","1.612,72","1.608,93","1.618,10","1.608,64","-","0,65%"
"15.01.2020","1.602,29","1.604,03","1.615,64","1.588,73","-","-0,17%"
"14.01.2020","1.604,96","1.622,41","1.625,61","1.602,03","-","-0,91%"
"13.01.2020","1.619,73","1.612,38","1.620,17","1.608,53","-","0,31%"
"10.01.2020","1.614,69","1.602,40","1.614,69","1.594,01","-","0,81%"
"09.01.2020","1.601,74","1.597,24","1.607,28","1.590,77","-","0,80%"
"08.01.2020","1.589,08","1.567,72","1.590,21","1.563,18","-","1,32%"
"06.01.2020","1.568,35","1.560,36","1.568,35","1.549,52","-","0,27%"
"03.01.2020","1.564,18","1.554,72","1.567,86","1.553,80","-","0,99%"
"30.12.2019","1.548,92","1.549,59","1.558,24","1.545,30","-","-0,03%"
"27.12.2019","1.549,40","1.533,81","1.552,73","1.533,81","-","0,95%"
"26.12.2019","1.534,85","1.541,05","1.546,50","1.533,76","-","-0,60%"
"25.12.2019","1.544,12","1.541,59","1.549,88","1.541,31","-","0,24%"
"24.12.2019","1.540,46","1.535,88","1.541,87","1.534,78","-","0,36%"
"23.12.2019","1.535,00","1.522,85","1.535,00","1.522,04","-","0,74%"
"20.12.2019","1.523,77","1.522,10","1.530,86","1.519,02","-","0,28%"
"19.12.2019","1.519,49","1.514,40","1.526,48","1.511,06","-","-0,20%"
"18.12.2019","1.522,51","1.520,18","1.524,62","1.511,66","-","0,13%"
"17.12.2019","1.520,60","1.519,79","1.521,77","1.512,80","-","0,23%"
"16.12.2019","1.517,16","1.504,04","1.520,70","1.502,79","-","1,05%"
"13.12.2019","1.501,42","1.499,36","1.515,14","1.496,94","-","0,30%"
"12.12.2019","1.496,96","1.476,90","1.502,81","1.476,33","-","2,31%"
"11.12.2019","1.463,15","1.454,75","1.466,70","1.453,58","-","0,61%"
"10.12.2019","1.454,23","1.458,08","1.460,92","1.446,14","-","-0,18%"
"09.12.2019","1.456,79","1.448,82","1.458,90","1.445,55","-","0,58%"
"06.12.2019","1.448,34","1.433,89","1.448,65","1.431,47","-","1,25%"
"05.12.2019","1.430,39","1.430,44","1.434,16","1.421,35","-","0,03%"
"04.12.2019","1.430,03","1.417,91","1.433,56","1.410,61","-","1,13%"
"03.12.2019","1.414,06","1.432,13","1.435,81","1.414,06","-","-1,31%"
"02.12.2019","1.432,81","1.438,81","1.448,98","1.432,24","-","-0,39%"
"29.11.2019","1.438,45","1.438,47","1.441,02","1.428,03","-","-0,05%"
"28.11.2019","1.439,18","1.441,25","1.442,47","1.431,35","-","-0,13%"
"27.11.2019","1.441,08","1.444,41","1.450,34","1.437,92","-","0,01%"
"26.11.2019","1.440,95","1.455,84","1.458,88","1.437,89","-","-0,94%"
"25.11.2019","1.454,63","1.456,72","1.462,51","1.450,92","-","-0,05%"
"22.11.2019","1.455,42","1.453,42","1.468,40","1.451,50","-","0,05%"
"21.11.2019","1.454,74","1.449,80","1.456,62","1.445,01","-","0,44%"
"20.11.2019","1.448,40","1.449,08","1.452,40","1.433,00","-","-0,22%"
"19.11.2019","1.451,64","1.445,16","1.456,01","1.441,99","-","0,60%"
"18.11.2019","1.443,02","1.456,17","1.461,20","1.436,74","-","-0,44%"
"15.11.2019","1.449,42","1.440,29","1.450,84","1.435,54","-","0,87%"
"14.11.2019","1.436,98","1.438,67","1.448,54","1.425,44","-","-0,06%"
"13.11.2019","1.437,85","1.443,19","1.443,19","1.430,91","-","-0,79%"
"12.11.2019","1.449,35","1.461,37","1.471,19","1.447,83","-","-0,79%"
"11.11.2019","1.460,84","1.464,32","1.466,12","1.455,79","-","-0,50%"
"08.11.2019","1.468,17","1.486,56","1.486,56","1.457,39","-","-1,27%"
"07.11.2019","1.487,03","1.468,60","1.487,82","1.463,29","-","1,06%"
"06.11.2019","1.471,38","1.463,46","1.471,38","1.453,03","-","0,74%"
"05.11.2019","1.460,50","1.463,31","1.473,74","1.454,98","-","0,35%"
"01.11.2019","1.455,44","1.422,26","1.455,44","1.419,91","-","2,29%"
"31.10.2019","1.422,92","1.439,21","1.451,26","1.417,49","-","-0,63%"
"30.10.2019","1.431,90","1.419,81","1.437,01","1.416,43","-","0,55%"
"29.10.2019","1.424,05","1.412,45","1.424,05","1.405,00","-","0,86%"
"28.10.2019","1.411,92","1.420,31","1.432,26","1.408,97","-","-0,65%"
"25.10.2019","1.421,20","1.414,15","1.423,14","1.402,56","-","0,54%"
"24.10.2019","1.413,63","1.390,68","1.413,63","1.390,54","-","1,52%"
"23.10.2019","1.392,47","1.382,83","1.392,47","1.377,96","-","0,35%"
"22.10.2019","1.387,68","1.367,67","1.387,68","1.366,73","-","1,65%"
"21.10.2019","1.365,14","1.363,43","1.369,06","1.358,17","-","0,73%"
"18.10.2019","1.355,27","1.350,05","1.358,63","1.349,15","-","0,13%"
"17.10.2019","1.353,49","1.349,24","1.356,29","1.346,76","-","0,45%"
"16.10.2019","1.347,43","1.330,57","1.348,18","1.329,73","-","1,23%"
"15.10.2019","1.331,03","1.321,24","1.331,78","1.318,35","-","0,75%"
"14.10.2019","1.321,13","1.329,57","1.332,28","1.319,31","-","-0,64%"
"11.10.2019","1.329,63","1.330,97","1.341,70","1.328,41","-","-0,10%"
"10.10.2019","1.330,92","1.315,34","1.330,92","1.310,39","-","1,02%"
"09.10.2019","1.317,48","1.306,81","1.321,83","1.306,26","-","0,85%"
"08.10.2019","1.306,39","1.319,14","1.324,76","1.303,64","-","-1,05%"
"07.10.2019","1.320,25","1.313,90","1.322,26","1.305,05","-","0,66%"
"04.10.2019","1.311,65","1.309,73","1.319,88","1.309,15","-","0,36%"
"03.10.2019","1.307,01","1.313,97","1.317,66","1.300,45","-","-0,51%"
"02.10.2019","1.313,75","1.330,69","1.331,50","1.311,03","-","-1,17%"
"01.10.2019","1.329,37","1.335,64","1.346,70","1.328,84","-","-0,34%"
"30.09.2019","1.333,91","1.344,13","1.348,02","1.331,95","-","-1,02%"
"27.09.2019","1.347,72","1.360,21","1.360,58","1.347,69","-","-0,87%"
"26.09.2019","1.359,59","1.353,18","1.363,20","1.350,05","-","0,41%"
"25.09.2019","1.354,01","1.353,39","1.354,01","1.340,19","-","-0,35%"
"24.09.2019","1.358,80","1.374,41","1.379,42","1.355,88","-","-1,07%"
"23.09.2019","1.373,49","1.374,36","1.375,32","1.363,69","-","-0,28%"
"20.09.2019","1.377,38","1.376,21","1.379,41","1.368,43","-","-0,05%"
"19.09.2019","1.378,06","1.382,32","1.386,99","1.373,15","-","-0,30%"
"18.09.2019","1.382,16","1.379,67","1.382,47","1.375,20","-","0,05%"
"17.09.2019","1.381,50","1.393,30","1.399,36","1.374,40","-","-1,05%"
"16.09.2019","1.396,09","1.376,21","1.396,25","1.375,57","-","1,98%"
"13.09.2019","1.368,93","1.360,97","1.370,77","1.359,46","-","0,58%"
"12.09.2019","1.361,05","1.354,56","1.364,76","1.349,59","-","0,47%"
"11.09.2019","1.354,68","1.342,55","1.358,67","1.339,11","-","0,80%"
"10.09.2019","1.343,95","1.338,65","1.343,95","1.330,38","-","0,28%"
"09.09.2019","1.340,14","1.343,16","1.349,90","1.336,73","-","-0,03%"
"06.09.2019","1.340,52","1.334,57","1.342,50","1.328,02","-","0,19%"
"05.09.2019","1.337,92","1.332,36","1.344,75","1.332,36","-","0,54%"
"04.09.2019","1.330,77","1.315,10","1.332,73","1.315,10","-","2,09%"
"03.09.2019","1.303,49","1.306,76","1.307,28","1.297,74","-","-0,44%"
"02.09.2019","1.309,22","1.293,90","1.310,63","1.292,86","-","1,23%"
"30.08.2019","1.293,32","1.285,55","1.297,68","1.284,85","-","0,65%"
"29.08.2019","1.284,94","1.264,18","1.284,94","1.261,97","-","1,44%"
"28.08.2019","1.266,71","1.260,45","1.267,41","1.250,87","-","0,64%"
"27.08.2019","1.258,60","1.268,86","1.269,98","1.248,32","-","-0,76%"
"26.08.2019","1.268,25","1.265,40","1.276,24","1.260,45","-","-0,02%"
"23.08.2019","1.268,45","1.286,45","1.288,49","1.267,62","-","-1,11%"
"22.08.2019","1.282,63","1.280,98","1.288,28","1.276,17","-","0,19%"
"21.08.2019","1.280,19","1.267,54","1.281,80","1.262,74","-","1,23%"
"20.08.2019","1.264,59","1.248,39","1.265,22","1.245,85","-","1,37%"
"19.08.2019","1.247,53","1.244,40","1.253,34","1.233,19","-","0,62%"
"16.08.2019","1.239,81","1.257,30","1.261,09","1.239,81","-","-0,83%"
"15.08.2019","1.250,13","1.260,76","1.268,73","1.241,12","-","-0,76%"
"14.08.2019","1.259,68","1.302,88","1.304,47","1.255,79","-","-2,94%"
"13.08.2019","1.297,85","1.294,95","1.306,46","1.277,68","-","0,29%"
"12.08.2019","1.294,12","1.296,69","1.302,04","1.287,47","-","0,36%"
"09.08.2019","1.289,47","1.306,05","1.307,73","1.289,08","-","-1,10%"
"08.08.2019","1.303,80","1.298,77","1.308,80","1.298,77","-","1,47%"
"07.08.2019","1.284,91","1.294,94","1.306,53","1.280,42","-","-0,74%"
"06.08.2019","1.294,50","1.276,22","1.300,77","1.276,10","-","0,95%"
"05.08.2019","1.282,29","1.287,11","1.295,01","1.279,29","-","-0,84%"
"02.08.2019","1.293,19","1.325,48","1.325,48","1.290,12","-","-3,95%"
"01.08.2019","1.346,40","1.350,46","1.352,72","1.339,54","-","-1,00%"
"31.07.2019","1.360,04","1.358,07","1.364,84","1.352,68","-","0,53%"
"30.07.2019","1.352,89","1.355,91","1.358,09","1.349,00","-","-0,05%"
"29.07.2019","1.353,61","1.350,11","1.355,58","1.346,26","-","0,39%"
"26.07.2019","1.348,30","1.343,71","1.361,94","1.342,53","-","0,10%"
"25.07.2019","1.346,91","1.333,57","1.362,30","1.326,48","-","0,54%"
"24.07.2019","1.339,62","1.350,01","1.351,31","1.336,94","-","-0,44%"
"23.07.2019","1.345,48","1.341,54","1.351,08","1.338,94","-","0,32%"
"22.07.2019","1.341,17","1.349,12","1.353,41","1.341,17","-","-0,70%"
"19.07.2019","1.350,69","1.359,44","1.365,88","1.350,33","-","0,07%"
"18.07.2019","1.349,76","1.354,30","1.359,43","1.348,95","-","-0,87%"
"17.07.2019","1.361,58","1.357,09","1.367,04","1.354,11","-","-1,48%"
"16.07.2019","1.382,09","1.384,53","1.385,18","1.372,76","-","-0,32%"
"15.07.2019","1.386,52","1.392,92","1.396,67","1.385,30","-","-0,10%"
"12.07.2019","1.387,87","1.397,71","1.398,55","1.379,50","-","-0,79%"
"11.07.2019","1.398,88","1.408,78","1.413,82","1.391,55","-","-0,62%"
"10.07.2019","1.407,64","1.392,56","1.409,43","1.386,15","-","0,92%"
"09.07.2019","1.394,86","1.395,92","1.399,16","1.390,70","-","-0,34%"
"08.07.2019","1.399,55","1.393,62","1.399,55","1.384,05","-","0,06%"
"05.07.2019","1.398,75","1.410,91","1.412,97","1.397,29","-","-0,91%"
"04.07.2019","1.411,53","1.404,60","1.411,53","1.399,22","-","0,71%"
"03.07.2019","1.401,52","1.398,24","1.402,45","1.389,47","-","0,23%"
"02.07.2019","1.398,26","1.402,12","1.405,40","1.391,08","-","-0,24%"
"01.07.2019","1.401,64","1.383,57","1.409,76","1.383,57","-","1,53%"
"28.06.2019","1.380,52","1.387,33","1.393,63","1.380,06","-","-0,54%"
"27.06.2019","1.388,07","1.386,14","1.396,19","1.380,88","-","0,10%"
"26.06.2019","1.386,63","1.380,58","1.388,93","1.376,89","-","0,42%"
"25.06.2019","1.380,87","1.389,96","1.392,90","1.373,15","-","-0,45%"
"24.06.2019","1.387,06","1.381,01","1.389,52","1.380,92","-","0,88%"
"21.06.2019","1.375,02","1.390,86","1.391,03","1.365,48","-","-1,16%"
"20.06.2019","1.391,21","1.362,52","1.391,72","1.362,52","-","2,21%"
"19.06.2019","1.361,14","1.359,51","1.366,49","1.353,87","-","0,14%"
"18.06.2019","1.359,23","1.338,30","1.359,63","1.334,56","-","1,37%"
"17.06.2019","1.340,90","1.339,50","1.351,04","1.336,32","-","-0,01%"
"14.06.2019","1.341,05","1.345,14","1.356,06","1.341,05","-","-0,44%"
"13.06.2019","1.346,98","1.342,10","1.346,98","1.332,72","-","0,27%"
"11.06.2019","1.343,33","1.321,82","1.347,83","1.321,67","-","0,57%"
"10.06.2019","1.335,71","1.327,75","1.337,63","1.326,94","-","0,74%"
"07.06.2019","1.325,95","1.323,75","1.330,41","1.320,48","-","0,46%"
"06.06.2019","1.319,85","1.301,74","1.321,23","1.301,05","-","1,27%"
"05.06.2019","1.303,35","1.308,59","1.314,29","1.300,11","-","-0,32%"
"04.06.2019","1.307,55","1.314,22","1.321,39","1.299,06","-","-0,58%"
"03.06.2019","1.315,22","1.280,99","1.323,06","1.273,62","-","2,19%"
"31.05.2019","1.287,09","1.283,38","1.288,31","1.268,29","-","0,04%"
"30.05.2019","1.286,52","1.282,56","1.291,11","1.280,69","-","0,83%"
"29.05.2019","1.275,92","1.269,23","1.277,77","1.262,13","-","0,38%"
"28.05.2019","1.271,15","1.287,34","1.289,61","1.264,86","-","-1,32%"
